FRAVEGA,list_price,discount_price
Heladera SBS Whirlpool WRO80K2 Inoxidable,86.499,69.999
Heladera No Frost Electrolux TF51X Plata,56.999,46.999
Cervecera Beer Cooler Whirlpool WZD12AV,24.999,20.999
Heladera Sin Freezer PATRICK HPK292B01,21.214,18.499
Heladera No Frost Panasonic NR-BT42BV1XF Plateada,45.999,39.999
Cava Lusqtoff 12 Bts. LQCAV 12,10.422,9.038
Heladera con Freezer Philco PHCT360B/01 Blanca,28.399,24.999
Heladera Sin Freezer VONDOM RFG48B,10.199,8.999
Heladera Sin Freezer Lusqtoff LQFRI65,15.872,13.904
Heladera No Frost Whirlpool WRM54AB Blanca,49.299,43.999
Heladera No Frost Panasonic NR-BT48PV1WF Blanca,53.999,47.999
Heladera No Frost Whirlpool WRM54AK Acero Inoxidable,51.399,45.999
Heladera No Frost Panasonic NR-BB53PV3WF Blanca,55.999,49.999
Heladera No Frost SIAM HSI-NT30XD Acero Inoxidable,39.999,35.999
Heladera No Frost Panasonic NR-BB53PV3XF Plateado,57.999,51.999
Combo Heladera + Cocina + Lavarropas C.S.,32.999,29.699
Heladera con Freezer GAFA HGF367AFB Plata,30.999,27.999
Heladera Sin Freezer VONDOM HEL82BLANCA,16.999,15.699
Heladera con Freezer GAFA HGF367AFB Blanca,29.499,26.999
Freezer PATRICK FHP300B Blanco,24.899,23.199
Freezer PATRICK FHP420B Blanco,29.699,27.699
Heladera con Freezer PATRICK HPK151M00B Blanca,27.999,25.999
Freezer PATRICK FHP220B Blanco,21.999,20.799
Heladera No Frost BOSCH KGN49AW22 Blanca,78.999,78.999
Cava Winefroz 111 Bts. MN100S,78.0,78.0
Cava Winefroz 54 Bts. MN54D,66.0,66.0
Freezers Verticales BOSCH GIN81AE30 Blanco,86.999,86.999
Cava Winefroz 143 Bts. MN143T,112.0,112.0
Heladera Sin Freezer BOSCH KIR81AF30,86.999,86.999
Heladera No Frost BOSCH KGN49AI22 Inoxidable,81.999,81.999
Heladera con Freezer PATRICK HPK141M00S Plata,26.399,26.399
Cava Winefroz 38 Bts. MN32D,50.0,50.0
Heladera SBS BOSCH KAG90AI20 Inoxidable,169.999,169.999
Cava Winefroz 27 Bts. MN34S,43.0,43.0
Lavarropas Automático LONGVIE 6.5 KG L16510 Blanco,21.199,16.999
Lavarropas Automático Drean 8 KG Next 8.12 Eco Blanco,23.499,18.999
Lavarropas Automático Aurora 6 KG 6506 Blanco,18.999,16.499
Lavarropas Automático Whirlpool 9 KG WLCF90S Plata,41.199,27.999
Lavarropas Automático Drean 5 KG CONCEPT 5.05 V1 Blanco,14.499,12.999
Secarropas Drean QV5.5 5.5 Kg,4.599,3.799
Lavarropas Automático Drean 6 KG Next 6.06 Eco Blanco,18.999,14.999
Lavarropas Automático Drean 5 KG CONCEPT FUZZY LOGIC TECH V1 Blanco,14.999,11.999
Lavarropas Automático Candy 6 KG CVST610T Blanco,27.999,21.999
Lavarropas Automático Drean 6 KG Next 6.08 Eco Blanco,19.999,16.999
Secarropas KOHINOOR N-655 5.5 Kg,5.799,5.199
Lavavajilla Drean 15 C Dish 15.2 DTX Inox c/gris,27.999,22.999
Lavarropa Semiautomático 57 RT Patriot,4.999,4.499
Secarropas KOHINOOR C-755/2 5.5 Kg,4.999,4.599
Lavarropas Automático Electrolux 6.5 KG DIGITAL WASH Blanco,18.299,14.499
Lavarropa Semiautomático FAMILY 096 A Drean,8.599,7.599
Lavarropas Automático Candy 8 KG GVS128TC3-12 Blanco,28.999,19.999
Lavarropas Automático Whirlpool 8.5 KG WLCF85B Blanco,36.699,25.999
Lavasecarropas LONGVIE LS18012,32.799,25.999
Lavarropas Automático Drean 8 KG Next 8.14 WCR Eco Blanco,28.999,23.499
Lavarropas Automático Coventry 5 KG CFG 508 Blanco,17.899,14.499
Lavarropas Automático Electrolux 6.5 KG 91307000/5 Plata,20.599,16.999
Lavarropas Automático Drean 7 KG Next 7.09 Eco Blanco,20.999,17.499
Lavarropas Automático Drean 7 KG Next 7.10 Eco Blanco,21.999,18.499
Lavavajilla panelable Ariston 15 C LTF 11S112 AG,34.999,34.999
Lavarropas Automático Whirlpool 10 KG WWI16BB Blanco,33.899,25.999
Lavasecarropas LONGVIE LS18012P,36.699,29.999
Lavarropas Automático Drean 6 KG GOLD BLUE 8.6 ECO+ Blanco,24.999,20.999
Lavarropas Automático Drean 6 KG GOLD BLUE 10.6 ECO+ Blanco,25.999,21.999
Lavarropa Semiautomático FAMILY 066 S Drean,6.999,5.999
Secarropas KOHINOOR B-665/2 6.5 Kg,6.299,5.999
Secadoras por Calor Axel AX 3000,3.499,3.499
Lavarropa Semiautomático LSC-10000 COLUMBIA,4.999,4.999
Lavavajilla Drean 15 C Dish 15.2 DTB Blanco,25.999,19.999
Secarropas KOHINOOR A-655/2 5.5 Kg,6.199,5.499
Lavarropas Automático Whirlpool 7 KG WLCF70B Blanco,33.699,20.999
Lavarropas Automático Whirlpool 6 KG WNQ66A Blanco,21.299,17.499
Lavarropas Automático Coventry 5 KG CFG 505 Blanco,16.999,13.999
Secarropas KOHINOOR B-655/2 5.5 Kg,5.499,4.999
Secarropas por Calor Whirlpool WSF10AB,37.899,35.999
Lavavajilla Candy 15 C KCDPA 7512HW-12 Blanco,27.999,21.999
Lavarropas Automático Panasonic 11 KG NA-F110H6WAG Blanco,32.999,26.999
Lavarropas Automático Electrolux 6.5 KG FUZZYWASH Blanco,20.399,16.999
Lavarropas Automático Whirlpool 7 KG WNQ76A Blanco,22.899,18.999
Lavarropas Automático Candy 8 KG CVST810T Blanco,29.699,24.999
Lavarropas Automático Electrolux 10 KG ELAC210W Blanco,28.199,23.999
Lavasecarropas Panasonic 11 KG NA-S118F2WAR Blanco,44.999,39.999
Lavarropas Automático Samsung 7 KG WA70F5S4UDW Blanco,25.699,22.999
Secarropas Drean QV6.5 6.5 Kg,4.799,4.299
Lavarropa Semiautomático 56 RB Patriot,4.799,4.299
Secarropas por Calor COLUMBIA SCP 6000,4.219,3.999
Secarropas por Calor Candy GVC D913B-12S,28.999,28.999
Lavarropas Automático Whirlpool 9 KG WWI13BB Blanco,31.899,24.999
Lavarropas Automático LONGVIE 6.5 KG L16508 Blanco,19.999,15.999
Lavarropas Automático Electrolux 9 KG ELAC209W Blanco,25.899,20.999
Lavasecarropas Candy GVSW286TC3,37.999,30.999
Lavarropas Automático LONGVIE 8 KG L18012 Blanco,23.299,18.999
Lavarropas Automático Panasonic 11 KG NA-FS11P6SAG Gris,35.999,29.999
Lavavajilla Drean 12 C Dish 12.2 LTB Blanco,23.999,19.999
Lavarropas Automático LG 3.5 KG WD100CV.ASSPGAR Plata,19.999,16.599
Lavavajilla Whirlpool 14 C WLV14SY Inoxidable,35.599,29.999
Lavasecarropas Whirlpool WCF09BY,44.999,39.999
Secarropas por Calor Candy GCV 581NC,22.499,19.999
Lavasecarropas Ariston AQD1170D 69 AG,35.699,31.999
Secarropas por Calor Candy GVC D913B,28.499,25.999
Lavasecarropas Ariston AQD1070D 497X EX,37.099,33.999
Secarropas por Calor Ariston F078482 TCF 97C 6H1 AG,25.199,23.999
Secarropas KOHINOOR N-655/2 5.5 Kg,5.799,5.499
Lavarropas Automático Samsung 7 KG WW70J4463GW Blanco,31.499,29.999
Secadoras por Calor Ariston AQC9 BF7 T1 (AG),27.299,25.999
Secarropas KOHINOOR A-665/2 6.5 Kg,6.799,6.799
Lavavajilla BOSCH 14 C SMS25FW05E Blanco,46.999,46.999
Lavarropas Automático Whirlpool 10 KG WWI16BS Plateado,34.799,24.999
Lavarropas Automático Candy 6 KG CST68D Blanco,26.499,19.999
Lavarropas Automático Whirlpool 10 KG WLCF10B Blanco,44.999,34.999
Secarropas Coventry Blanco AD61OM 6.1 Kg,3.799,2.999
Lavarropas Automático Samsung 6.5 KG WW65M0NHUU Plata,27.999,22.524
Lavarropas Automático LONGVIE 8 KG L18010 Blanco,22.199,17.999
Lavarropas Automático Samsung 7 KG WW70J4463GS Plata,33.999,28.049
Lavarropas Automático Panasonic 11 KG NA-F110H6LAG Gris,33.999,27.999
Lavavajilla Candy 12 C KCDPA 7205HW-12 Blanco,25.499,20.999
Lavavajilla Candy 15 C KCDPA 7512HX-12 Inoxidable,29.999,24.999
Lavavajilla Whirlpool 14 C WLV14BY Blanco,32.399,26.999
Lavasecarropas Samsung WD10J6410AX,59.499,49.999
Lavarropas Automático Samsung 9 KG WW90M4WPUU Silver,34.999,29.999
Lavarropas Automático Samsung 9 KG WW90M4WPEU Blanco,32.999,28.999
Lavasecarropas Midea WD-LC312SAR1,44.999,39.999
Secarropas Coventry Negro IN61OM 6.1 Kg,4.059,3.599
Lavarropas Automático Samsung 8 KG WA80F5S4UDW Blanco,27.799,24.999
Lavarropas Automático PATRICK 9 KG LPA1020WPCI0 Silver,25.999,23.699
Secarropas por Calor Candy GVC D813B,27.299,24.999
Lavarropas Automático Electrolux 9 KG ELAC9S Gris,25.799,24.099
Lavarropas Automático Samsung 8 KG WA80F5S4UDA Plateado,29.399,27.999
Secarropas por Calor PATRICK SCPK07M,20.899,19.999
Lavavajilla BOSCH 14 C SMS25FI05E Inoxidable,56.999,56.999
Lavavajilla LG 14 C D1452LF Inoxidable,44.999,44.999
Lavavajilla BOSCH 14 C SMS25FI05E Inoxidable,56.999,56.999
Lavavajilla LG 14 C D1452LF Inoxidable,44.999,44.999
Lavarropas Automático Beko 8 KG WTV8633XS Blanco,23.899,23.899
Secarropas Coventry Celeste IL61OM 6.1 Kg,3.959,3.959
Secarropas por Calor PATRICK SCPK07B,18.899,18.899
Lavarropas Automático Beko 11 KG WTE11735XCMST Gris,31.899,31.899
Lavavajilla LG 14 C D1455CF Gris,54.999,54.999
Caloventor Liliana 2000 W CFH401,1.299,1.149
Estufa TB Orbis 4140GO+TIRAJE 412 Gris Gas Natural,6.999,6.999
Aire Acond Split Surrey Frío/Calor Inverter Smart 3050 Fg 35,40.599,29.999
Aire Acond Split Surrey Frío/Calor Inverter Smart 4500 Fg 52,49.999,36.999
Aire Acondicionado Split Coventry Frío/Calor 2750 Fg 3224 W,18.999,15.999
Estufa Sin Salida LONGVIE ECA3S Tiza Multigas,7.999,5.699
Estufa Sin Salida LONGVIE ECA3V Tiza Multigas,9.239,6.899
Estufa TB Orbis 4120GO +TIRAJE 412 Gris Gas Natural,5.999,5.999
Estufa TB LONGVIE EBA2S Marfil Multigas,8.399,6.699
Estufa TB LONGVIE EBA3S Marfil Multigas,8.999,7.999
Estufa Sin Salida LONGVIE ECA2S Tiza Multigas,6.999,4.899
Aire Acondicionado Split Philco Frio/Calor 5461 Fg 6350 W,31.899,29.999
Convector Liliana PPV300,3.699,3.699
Aire Acondicionado Split Coventry Frío/Calor 4000 Fg 4689 W,24.299,16.999
Estufa TB LONGVIE EBA5S Marfil Multigas,10.999,9.899
Estufa Sin Salida ORBIS 4040GO Gris Gas Natural,5.499,5.499
Estufa Sin Salida Coventry 5000 GN2014 Marrón Gas Natural,5.279,3.519
Estufa TB Coventry 4000 GN 2014 Marrón Gas Natural,7.679,5.119
Estufa TB Coventry 2500 GN Tiza Gas Natural,6.959,4.639
Ventilador de Techo Severbon VTA 420 P C/LUZ Acero Inoxidable,6.058,4.299
Convector Axel AX-VITROCO N,3.129,3.129
Estufa Sin Salida Coventry 3000 GN2014 Marrón Gas Natural,4.439,2.959
Estufa Sin Salida Coventry S.S 7500 Marrón Gas Natural,5.999,4.159
Estufa Halógena Protalia HN16,2.999,2.199
Convector Axel AX-CO100,2.999,2.799
Convector Axel AX-COT,2.839,2.839
Convector Axel AX-VITROCOT BLANCO C/TURBO,3.549,3.549
Estufa TB LONGVIE EBA5V Marfil Multigas,19.999,12.499
Ventiladores de pared Axel AXPAR20BL,2.489,1.799
Aire Acondicionado Split Inverter York Frio/Calor 3010 Fg 35,34.999,25.999
Estufa Sin Salida LONGVIE ECA5S Tiza Multigas,7.999,6.499
Caloventor Axel 1900 W AX-CA,1.399,1.149
Estufa TB Eskabe S21 TB3 TE G15 Marfil Multigas,14.399,11.999
Estufa Sin Salida Eskabe S21 MX5 TE G15 Marfil Multigas,11.999,9.999
Estufa Sin Salida Eskabe TT MX5 TE G15 Beige Multigas,15.599,12.999
Aire Acondicionado Split York Ultra Frío/Calor 4386 Fg 5100,29.999,24.999
Estufa Sin Salida Eskabe TT MX3 TE G15 Beige Multigas,13.199,10.999
Caloventor Axel 1900 W AXCA100,1.399,1.199
Aire Acondicionado Split Coventry Inverter Frio/Calor 4610 F,33.999,33.999
Estufa TB Coventry 2500 GN 2014 Marrón Gas Natural,6.359,4.239
Aire Acondicionado Split Midea Frío/Calor 2230 Fg 2600 W,23.499,15.999
Aire Acondicionado Split Samsung 3300 W AR12MSFPAWQ/BG Frío/Calor,42.999,32.999
Aire Acondicionado Split Inverter York Frio/Calor 2236 Fg 26,29.999,23.999
Aire Acond Split Coventry Inverter Frío/Calor 3000 Fg 3517 W,24.999,19.999
Acondicionador Portatil Coventry CO-H12AR,18.999,15.999
Aire Acondicionado Split Inverter Frio/Calor Carrier 5500 F,63.699,54.999
Infrarrojo Liliana CI640 2400,3.799,3.499
Convector Axel AXCO,2.499,2.499
Ventilador de Pie Axel AXPIE16,1.879,1.879
Estufas a Garrafa Eskabe GARRAFERA MM5,8.999,8.999
Estufa a Leña Tromen Austral 5500,12.999,7.999
Estufa TB Coventry 4000 GN 2014 Tiza Gas Natural,8.399,5.599
Convector Peabody PE VC10B,4.999,3.799
Convector Peabody PE VC10N,4.999,3.799
VitroConvector Peabody PE-VC20R,5.999,4.899
Estufa TB ORBIS 4167TO 5000 Gris Gas Natural,15.599,12.999
Estufa Sin Salida Eskabe S21 MX5 G15 Marfil Multigas,9.959,8.299
Estufa TB Eskabe S21 TB 5 MF G15 Marfil Gas Natural,13.799,11.499
Estufa TB Eskabe TT TB2 G15 Beige Multigas,14.399,11.999
Estufa TB Eskabe S21 TB3 G15 Marfil Multigas,11.399,9.499
Infrarrojo Liliana CI080 1400,2.899,2.499
Estufa TB LONGVIE EBA2T Marfil Multigas,9.599,8.799
Caloventor Protalia 2000 W FH803,1.299,1.199
Turbo Ventilador Protalia V.20T,2.299,2.199
Aire Acondicionado Split Midea Frío/Calor 2790 Fg 3250 W,24.599,16.999
Aire Acondicionado Split Midea Frío/Calor 5300 Fg 6170 W,43.559,29.999
Ventilador de Techo Severbon VTA 420 B C/LUZ Chapa,4.932,3.499
Ventilador de Techo Severbon VTA 420 M C/ LUZ Metal,4.932,3.499
Ventilador de Techo Severbon VTML 420 DC C/ LUZ MDF y Metal,5.928,4.199
Ventilador de Techo Severbon VTA 420 M Metal,4.438,3.199
Ventilador de Techo Severbon VTA 420 B Chapa,4.438,3.199
Estufa Sin Salida VOLCAN 42512V 2500 Beige Gas Natural,5.279,3.869
Aire Acondicionado Split Samsung 2500 W AR09MSFPAWQ/BG Frío/Calor,39.999,29.999
Estufa Sin Salida LONGVIE ECA2 Tiza Multigas,6.999,5.499
Ventilador de Pie Peabody PE-VP250,3.799,2.999
Ventilador de Mesa Peabody PE-VP150,2.899,2.299
Convector Peabody PE-VC20B,5.999,4.899
Convector Peabody PE-VC20N,5.999,4.899
Estufa TB Eskabe S21 TB2 G15 Marfil Multigas,9.599,7.999
Estufa TB Eskabe TT TB3 G15 Beige Multigas,17.999,14.999
Ventilador de Techo Severbon VTA 420 P Acero Inoxidable,5.518,4.599
Estufa TB Eskabe TT TB5 G15 Beige Multigas,21.599,17.999
Ventilador de Techo Severbon VTML 420 DC MDF y Metal,5.518,4.599
Estufa Sin Salida Eskabe S21MX3 G15 Marfil Multigas,8.399,6.999
Estufa Sin Salida Eskabe S21 MX 8 MF G15 Marfil Gas Natural,12.359,10.299
Caloventor Liliana 2000 W CFH510,2.399,1.999
Estufa Sin Salida Eskabe TT MX8 CV G15 Beige Multigas,19.199,15.999
Aire Inverter Split Carrier Frío/Calor Smart 5500 Fg 6400 W,63.699,54.999
Ventilador de Pie Peabody PE-VP350,4.599,3.999
Estufa TB LONGVIE EBA3T Marfil Multigas,11.999,10.499
Turbo Ventilador Electrolux TU20C,2.799,2.499
Calefactor a Leña Tromen Pehuen 6000,12.999,11.599
Aire Acondicionado Split Electra Inverter 3010 Fg 3500 W ETR,24.999,22.499
Caloventor Liliana 1500 W PTC617,2.599,2.399
Aire Acondicionado Piso Techo Philco Frío/Calor 16980 W PHPT,119.999,109.999
Convector Protalia CH2000B,3.399,3.199
Aire Acondicionado Split BGH Frío/Calor Inverter 5400FG 6350,47.17,44.999
Climatizador TAGWOOD AIRC03 Frío,19.5,19.5
Climatizador TAGWOOD AIRC12 Frío,4.15,4.15
Ventilador de Pie Axel AXPIE20BL,2.699,2.699
Aire Acond. Split Philco Frío/Calor Inverter 2838 Fg 3300 W,24.999,24.999
Estufa Halógena Protalia HN12,1.899,1.899
Climatizador TAGWOOD AIRC01 Frío,9.975,9.975
Aire Acondicionado Piso Techo LG 9300 W UV-H368KLA0 Frío/Ca…,42.999,42.999
Aire Acondicionado Split Coventry Frio/Calor 5246 Fg 6155 W,28.999,28.999
Infrarrojo Liliana CIF150 1400,2.699,2.699
Ventilador de Pie Axel AXPIE20CR,3.499,3.499
Aire Acondicionado Split Midea Inverter Frío/Calor 5140 W MS,46.999,46.999
Aire Acondicionado Split Midea Inverter Frío/Calor 5940 W MS,54.499,54.499
Aire Acondicionado Split Midea Inverter Frío/Calor 3150 W MS,31.999,31.999
Turbo Ventilador Axel AXTUR20CR,3.129,3.129
Calefactor a Leña Tromen Tr 13001,37.999,37.999
Estufa Sin Salida ORBIS 4020GO Gris Gas Natural,4.999,4.999
Turbo Ventilador Axel AXTV16,2.499,2.499
Convector Liliana CNG17,2.799,2.799
Ventilador de Pie Moulinex air pro power,3.549,3.549
Climatizador TAGWOOD AIRC30 Frío,11.6,11.6
Climatizador TAGWOOD AIRC11 Frío,5.5,5.5
